ad_number,base_ad_number,base_year,cohort,family,ata,strata,rationale,logical_version_key,revision_number,is_correction,correction_date,issue_date,page_count,file_name,relative_path,file_instance_id,content_id,file_sha256,normalized_text_sha256,drive_file_id,pdf_url,detail_url,near_duplicate_cluster,supersedes_ad_numbers,double_annotation,annotator_a,annotator_b,adjudication,selection_status,selection_frozen_on
2019-0011R2,2019-0011,2019,2019-2026,A300,53,revised|complex_applicability|table_heavy,R2 A300 case with tabular scope and production-modification-conditioned applicability.,2019-0011R2|UNCORRECTED,2,False,,,5,2019-0011R2__AD_2019-0011R2_2__EASA_AD_2019_0011_R2.pdf,2019-0011R2__AD_2019-0011R2_2__EASA_AD_2019_0011_R2.pdf,1949a5e809ac47e1,f7c12e93b9823beb,f7c12e93b9823beb48a9a2d36495012f50e5a07384bdcc9eef28a5ca91267544,d39a80a4af8a34da855640a6bb1cc7c451e1d2d5c34795266dd6f10a9dd64572,1VDi3ukpsR6qcKpdMhuIndYEUgsyRaZm-,https://ad.easa.europa.eu/blob/EASA_AD_2019_0011_R2.pdf/AD_2019-0011R2_2,https://ad.easa.europa.eu/ad/2019-0011R2,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2019-0183,2019-0183,2019,2019-2026,A350,92,simple,Two-page original AD with one modification action and one non-repetitive compliance rule.,2019-0183|UNCORRECTED,0,False,,2019-08-09,2,2019-0183__AD_2019-0183_1__EASA_AD_2019_0183.pdf,2019-0183__AD_2019-0183_1__EASA_AD_2019_0183.pdf,5577514a19f6917c,c00f2ba68574cd32,c00f2ba68574cd324b09588bb2ea67f510b806cd5e05fe58146c2bb90b1d0ddd,e460b80b05dcd9c698e9f8d03479cbf1b3923b88cd1b70c74c4810d1101fd54c,1fyfMoCt3Ygvj6HIPZhu_KIxGd8rdW8CR,https://ad.easa.europa.eu/blob/EASA_AD_2019_0183.pdf/AD_2019-0183_1,https://ad.easa.europa.eu/ad/2019-0183,,,True,required,required,required,selected_pdf_hash_verified,2026-07-22
2020-0028,2020-0028,2020,2019-2026,A350,78,simple,Short original A350 AD used as a simple recent baseline.,2020-0028|UNCORRECTED,0,False,,2020-02-29,2,2020-0028__AD_2020-0028_1__EASA_AD_2020_0028.pdf,2020-0028__AD_2020-0028_1__EASA_AD_2020_0028.pdf,734af537e02af649,898bc65f2dd9ecde,898bc65f2dd9ecdeea66673cdb5c291036943ebbedd93216bb24ff36622b8e5f,e888645f570093523e28c7554c3a24cc9487abdced5014c9b0bce2d736450306,1eE7RRrSwcJXvaHsqC8jKtSeae-YfF_ne,https://ad.easa.europa.eu/blob/EASA_AD_2020_0028.pdf/AD_2020-0028_1,https://ad.easa.europa.eu/ad/2020-0028,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2020-0085R1,2020-0085,2020,2019-2026,A318-A321,71,revised|complex_applicability|table_heavy,R1 with structured supersedure and table-dependent engine applicability.,2020-0085R1|UNCORRECTED,1,False,,,7,2020-0085R1__AD_2020-0085R1_1__EASA_AD_2020_0085R1.pdf,2020-0085R1__AD_2020-0085R1_1__EASA_AD_2020_0085R1.pdf,5ced2074d6402f32,31f3f351ee2b02f4,31f3f351ee2b02f4ff0636e599e01bbe4e7775c23d5c3298919f5e4327e42e6a,dfe09d312d9d0d266862b183098648ed46a2487ead6089447cfca395ade9b2f4,1y5bYkTDrXCFOiG4OWCIqwy9lzySSk20H,https://ad.easa.europa.eu/blob/EASA_AD_2020_0085R1.pdf/AD_2020-0085R1_1,https://ad.easa.europa.eu/ad/2020-0085R1,,2017-0251,True,required,required,required,selected_pdf_hash_verified,2026-07-22
2021-0087,2021-0087,2021,2019-2026,A380,73,simple,Short original A380 AD used as a simple recent baseline.,2021-0087|UNCORRECTED,0,False,,2021-04-07,2,2021-0087__AD_2021-0087_1__EASA_AD_2021_0087.pdf,2021-0087__AD_2021-0087_1__EASA_AD_2021_0087.pdf,9e367bf311641409,bade33627bb01d44,bade33627bb01d44b31f286dcbaa512546d5acef8b9e211c08f4986933de2353,49efe5f0b0fc1efaf685c027de80d6962119882e06574a83ac26dc146ef03668,1d2BhjB03vAreFCAiB8217TQgkgy-owxv,https://ad.easa.europa.eu/blob/EASA_AD_2021_0087.pdf/AD_2021-0087_1,https://ad.easa.europa.eu/ad/2021-0087,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2021-0242,2021-0242,2021,2019-2026,A318-A321,53,complex_applicability|table_heavy,Configuration-sensitive applicability and an explicit prior-AD relationship.,2021-0242|UNCORRECTED,0,False,,2021-11-22,6,2021-0242__AD_2021-0242_2__EASA_AD_2021_0242.pdf,2021-0242__AD_2021-0242_2__EASA_AD_2021_0242.pdf,3d05d4995d986ef5,eb4fb67e4ae6f636,eb4fb67e4ae6f63629ff147dd10cca7d29fc5bf6e85db03f3b34c2bed9284a29,31c475538fcf0c315d2b8fb58620d099f12607603bd8e9368d80ddd4930a5073,1FUtbQVnVbq5SOZS5LogpRR0ADrtIyZD6,https://ad.easa.europa.eu/blob/EASA_AD_2021_0242.pdf/AD_2021-0242_2,https://ad.easa.europa.eu/ad/2021-0242,,2016-0238,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2022-0026,2022-0026,2022,2019-2026,A318-A321,25,complex_applicability|table_heavy|long_document,Twelve-page AD with tables/appendix and two explicit superseded ADs.,2022-0026|UNCORRECTED,0,False,,2022-03-02,12,2022-0026__AD_2022-0026_2__EASA_AD_2022_0026_superseded.pdf,2022-0026__AD_2022-0026_2__EASA_AD_2022_0026_superseded.pdf,2003cabcfcd8976a,687349d79195bcf4,687349d79195bcf420ccb88240a811245b50912233237f488a5fb9f8a7e63587,a06641b379ace03a4a6b6b4c21fca56c33a4449c2e51b78afd03402ecd0dfd32,1G5oIp0XprkvXmJkPR5r09T5JxucSLK5P,https://ad.easa.europa.eu/blob/EASA_AD_2022_0026_superseded.pdf/AD_2022-0026_2,https://ad.easa.europa.eu/ad/2022-0026,,2018-0255 | 2019-0106,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2022-0197,2022-0197,2022,2019-2026,A330/A340,28,complex_applicability|table_heavy|long_document,Long multi-family fuel-system AD with explicit supersedure.,2022-0197|UNCORRECTED,0,False,,2022-10-06,8,2022-0197__AD_2022-0197_1__EASA_AD_2022_0197.pdf,2022-0197__AD_2022-0197_1__EASA_AD_2022_0197.pdf,2f70e87899358165,9acac66ae6fc4e84,9acac66ae6fc4e84e5db4569a3fb2c57a232c30ff6c67a0300b6666d6f27cf28,b57263ca975bf473ab36981b51fb37b7a574d2cb27fdad2fa3a57ea6edce779d,1AwIXbCjAZIUV_wFCiKmFGPEG8vi6KATR,https://ad.easa.europa.eu/blob/EASA_AD_2022_0197.pdf/AD_2022-0197_1,https://ad.easa.europa.eu/ad/2022-0197,,2020-0283,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2023-0093R1,2023-0093,2023,2019-2026,A318-A321,32|92,revised|complex_applicability|table_heavy,"R1 with two ATA chapters, tables, and a prior revised AD relationship.",2023-0093R1|UNCORRECTED,1,False,,,7,2023-0093R1__AD_2023-0093R1_1__EASA_AD_2023_0093_R1.pdf,2023-0093R1__AD_2023-0093R1_1__EASA_AD_2023_0093_R1.pdf,f8c89a351f146b17,3f8aed562c9e5615,3f8aed562c9e5615a5e3196c95bb970b4cce7831a7b8950ba32a1b0ec6cd2c3e,0221d2312ca129c635b1e8aa9b466bf1e91882d0012abf654fc62d4cfad47ad6,1YK4K-U2kscu8Ve7tcKTIX2RbVzOSLgmv,https://ad.easa.europa.eu/blob/EASA_AD_2023_0093_R1.pdf/AD_2023-0093R1_1,https://ad.easa.europa.eu/ad/2023-0093R1,,2022-0032R1,True,required,required,required,selected_pdf_hash_verified,2026-07-22
2024-0038,2024-0038,2024,2019-2026,A318-A321,25,complex_applicability|table_heavy|long_document|near_duplicate_cluster,First member of the complete three-publication recent near-duplicate component.,2024-0038|UNCORRECTED,0,False,,2024-02-19,10,2024-0038__AD_2024-0038_1__EASA_AD_2024_0038_superseded.pdf,2024-0038__AD_2024-0038_1__EASA_AD_2024_0038_superseded.pdf,db594c767fc8f98e,fdfe2bd216353199,fdfe2bd21635319984f5a401e1b41a051e8fc533a64d9f07da5c0d8674549432,c286db3fae614d6d0b9a171c737d8f2c431a8ea720797e5883dd5b1886d1676d,1h3yAuyRGLgBW7Pf7DqirucYqmRyfuCU1,https://ad.easa.europa.eu/blob/EASA_AD_2024_0038_superseded.pdf/AD_2024-0038_1,https://ad.easa.europa.eu/ad/2024-0038,near-2024-0038--2025-0068--2026-0017,2021-0183R1,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2024-0095,2024-0095,2024,2019-2026,A330,53,complex_applicability|table_heavy|stc_conditioned,STC/configuration-conditioned applicability case.,2024-0095|UNCORRECTED,0,False,,2024-05-14,6,2024-0095__AD_2024-0095_1__EASA_AD_2024_0095.pdf,2024-0095__AD_2024-0095_1__EASA_AD_2024_0095.pdf,53e4fefd2d273164,3216f782771142a7,3216f782771142a7b170cdf3e6fa14e59484be3bfc1fe5b667cbb46a35777cbb,dc9995643d9db619a23c3fb038015c87e16eaa48235033ce10fe4147fa1d6614,1W44fY4YK7MDNhf1ZI09HWLXaz1SIdYZT,https://ad.easa.europa.eu/blob/EASA_AD_2024_0095.pdf/AD_2024-0095_1,https://ad.easa.europa.eu/ad/2024-0095,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2025-0008,2025-0008,2025,2019-2026,A350,27,table_heavy,A350 case whose replacement timing depends on Table 1 and compound first/later logic.,2025-0008|UNCORRECTED,0,False,,2025-01-23,3,2025-0008__AD_2025-0008_1__EASA_AD_2025_0008.pdf,2025-0008__AD_2025-0008_1__EASA_AD_2025_0008.pdf,b829efee031a2fcf,fbf718ab1a3ddb63,fbf718ab1a3ddb6336d20b0afdb696be0e24e87740f26547779e8154c748aef8,0118e7b92857c4e492cacfc648a863c5dd68f13d0e2747d595c5e4ac8d49b099,1itwkk2wsQ9FCPW9NGY8HTFUxqog71pm7,https://ad.easa.europa.eu/blob/EASA_AD_2025_0008.pdf/AD_2025-0008_1,https://ad.easa.europa.eu/ad/2025-0008,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
