question_id,result,failure_type,reviewer,review_date,reviewer_notes
U5Q-001,PASS,,Tun Wai Linn,2026-08-18,"Human-approved PASS. The hosted response is correct for the question's requested scope and supported by the supplied evidence. Exact normalized quote-containment misses, where present, remain diagnostic only."
U5Q-002,PASS,,Tun Wai Linn,2026-08-18,"Human-approved PASS. The hosted response is correct for the question's requested scope and supported by the supplied evidence. Exact normalized quote-containment misses, where present, remain diagnostic only."
U5Q-003,PASS,,Tun Wai Linn,2026-08-18,"Human-approved PASS. The hosted response is correct for the question's requested scope and supported by the supplied evidence. Exact normalized quote-containment misses, where present, remain diagnostic only."
U5Q-004,PASS,,Tun Wai Linn,2026-08-18,"Human-approved PASS. The hosted response is correct for the question's requested scope and supported by the supplied evidence. Exact normalized quote-containment misses, where present, remain diagnostic only."
U5Q-005,PASS,,Tun Wai Linn,2026-08-18,"Human-approved PASS. The hosted response is correct for the question's requested scope and supported by the supplied evidence. Exact normalized quote-containment misses, where present, remain diagnostic only."
U5Q-006,PASS,,Tun Wai Linn,2026-08-18,"Human-approved PASS. The hosted response is correct for the question's requested scope and supported by the supplied evidence. Exact normalized quote-containment misses, where present, remain diagnostic only."
U5Q-007,PASS,,Tun Wai Linn,2026-08-18,"Human-approved PASS. The hosted response is correct for the question's requested scope and supported by the supplied evidence. Exact normalized quote-containment misses, where present, remain diagnostic only."
U5Q-008,PASS,,Tun Wai Linn,2026-08-18,"Human-approved PASS. The hosted response is correct for the question's requested scope and supported by the supplied evidence. Exact normalized quote-containment misses, where present, remain diagnostic only."
U5Q-009,PASS,,Tun Wai Linn,2026-08-18,"Human-approved PASS. The hosted response is correct for the question's requested scope and supported by the supplied evidence. Exact normalized quote-containment misses, where present, remain diagnostic only."
U5Q-010,FAIL,Layer B post-ingestion passage selection,Tun Wai Linn,2026-08-18,"Human-approved FAIL. Page 1 is represented in the top-5, but neither approved answer-bearing Supersedure nor Applicability passage is present in the top-5 prompt evidence. The hosted insufficient_evidence response is therefore reasonable for the supplied evidence."
U5Q-011,TECHNICAL_FAILURE,Provider/structured-output,Tun Wai Linn,2026-08-18,"Human-approved technical classification. Both approved source quotations are present in the U7 top-5 evidence, but the DeepSeek primary request and the single exact post-ingestion transport retry both returned empty final JSON content. No semantic result is assigned."
U5Q-012,PASS,,Tun Wai Linn,2026-08-18,"Human-approved PASS. The hosted response is correct for the question's requested scope and supported by the supplied evidence. Exact normalized quote-containment misses, where present, remain diagnostic only."
U5Q-013,PASS,,Tun Wai Linn,2026-08-18,"Human-approved PASS. The hosted response is correct for the question's requested scope and supported by the supplied evidence. Exact normalized quote-containment misses, where present, remain diagnostic only."
U5Q-014,PASS,,Tun Wai Linn,2026-08-18,"Human-approved PASS. The hosted response is correct for the question's requested scope and supported by the supplied evidence. Exact normalized quote-containment misses, where present, remain diagnostic only."
U5Q-015,PASS,,Tun Wai Linn,2026-08-18,"Human-approved PASS. The hosted response is correct for the question's requested scope and supported by the supplied evidence. Exact normalized quote-containment misses, where present, remain diagnostic only."
