ad_number,base_ad_number,base_year,cohort,family,ata,strata,rationale,logical_version_key,revision_number,is_correction,issue_date,page_count,file_name,relative_path,file_instance_id,content_id,file_sha256,normalized_text_sha256,drive_file_id,pdf_url,detail_url,supersedes_ad_numbers,superseded_by_ad_numbers,supersedure_header,human_review,selection_status,selection_frozen_on
2006-0077,2006-0077,2006,2006-2018,A300/A310,33,legacy_format|complex_applicability,Legacy A310/A300-600 emergency-lighting case; adds ATA 33 coverage.,2006-0077|UNCORRECTED,0,False,2006-04-03,2,2006-0077__AD_2006-0077_1__easa_ad_2006_0077.pdf,2006-0077__AD_2006-0077_1__easa_ad_2006_0077.pdf,d5877768ebe69914,f2f2257c6fdb4893,f2f2257c6fdb4893eaee3f660d41da367a26c8a7186a6a7333c372d2a1905389,2436b9690783c9ed9c8e5e6a1a08f7f2f255690ae4d0569909fd8a42ce6cee2e,19gVxwK0wOWacPXdng3vkjn82bvB4Rchl,https://ad.easa.europa.eu/blob/easa_ad_2006_0077.pdf/AD_2006-0077_1,https://ad.easa.europa.eu/ad/2006-0077,,,None,required,selected_pdf_hash_verified,2026-07-30
2007-0249,2007-0249,2007,2006-2018,A318-A321,26,legacy_format|simple,Short cargo fire-extinguishing wiring inspection; adds ATA 26 coverage.,2007-0249|UNCORRECTED,0,False,2007-09-24,2,2007-0249__AD_2007-0249_1__easa_ad_2007_0249.pdf,2007-0249__AD_2007-0249_1__easa_ad_2007_0249.pdf,7a239ec5c306fa6d,18185cd18d1593eb,18185cd18d1593eb0b040e8a65fb4ff60e881622f180b1928af393479bc20f4e,571c086d66dd5d97cd3db058d61e72b8a889c4d231a77c43fea529554bb59202,1JGywDXj5HKWMErK-kLtZ9KIkIdexjSB_,https://ad.easa.europa.eu/blob/easa_ad_2007_0249.pdf/AD_2007-0249_1,https://ad.easa.europa.eu/ad/2007-0249,,,None,required,selected_pdf_hash_verified,2026-07-30
2008-0066,2008-0066,2008,2006-2018,A310,54,legacy_format|threshold_logic,A310 pylon structural inspection with model-dependent thresholds; adds ATA 54.,2008-0066|UNCORRECTED,0,False,2008-03-31,2,2008-0066__AD_2008-0066_1__easa_ad_2008_0066.pdf,2008-0066__AD_2008-0066_1__easa_ad_2008_0066.pdf,843fc74e8a4f44c0,38d8906ac3e9ee2b,38d8906ac3e9ee2bae16dcd13c81d3a8732873de06d24b8188dbd490b2637e74,77f9b447970692a7bb33f2a1d78932922d5fe4c739778b37afdd270f0bd69a4e,1_BTVhCe0XtOD6lpFenAwdhIh8wHDleLy,https://ad.easa.europa.eu/blob/easa_ad_2008_0066.pdf/AD_2008-0066_1,https://ad.easa.europa.eu/ad/2008-0066,,,None,required,selected_pdf_hash_verified,2026-07-30
2009-0171,2009-0171,2009,2006-2018,A300/A310/A300-600ST,26|29,multi_ata|broad_family,Legacy and Beluga multi-ATA valve case spanning ATA 26 and 29.,2009-0171|UNCORRECTED,0,False,2009-08-05,3,2009-0171__AD_2009-0171_1__easa_ad_2009_0171.pdf,2009-0171__AD_2009-0171_1__easa_ad_2009_0171.pdf,6edf8772870b3a19,09e691494295d6e9,09e691494295d6e90abb0d38230ebb14679c4769c4389462ac296f33b856828a,34e979afabb3d33a32e98e0d0ffdf7f15855972e36b033305141f783f3031d41,1A8PHd6ztJ0DTY4Kp9YqFQUD236bl_Rs9,https://ad.easa.europa.eu/blob/easa_ad_2009_0171.pdf/AD_2009-0171_1,https://ad.easa.europa.eu/ad/2009-0171,,,None,required,selected_pdf_hash_verified,2026-07-30
2010-0271,2010-0271,2010,2006-2018,A330/A340,22,operational_procedure|simple,Short A330/A340 autopilot and autothrust procedure; adds ATA 22.,2010-0271|UNCORRECTED,0,False,2010-12-22,2,2010-0271__AD_2010-0271_1__easa_ad_2010_0271.pdf,2010-0271__AD_2010-0271_1__easa_ad_2010_0271.pdf,2db3e9f8dfdadc71,f4793f605684347c,f4793f605684347cc73dec4f6701b9bb9d60500c3cf1b4a1212efa9c2eb66f82,8d2b79a61c0b9d63b2ceecd1c30273fc5dec98dc4f48d5398402291858450036,130OaLN8O0-Vyo1KBRKtEEqqAdIhIzDVi,https://ad.easa.europa.eu/blob/easa_ad_2010_0271.pdf/AD_2010-0271_1,https://ad.easa.europa.eu/ad/2010-0271,,,None,required,selected_pdf_hash_verified,2026-07-30
2011-0098,2011-0098,2011,2006-2018,Multi-family,25,broad_family|long_document|multi_manufacturer,"Six-page passenger-seat case spanning Airbus, Boeing and Fokker types.",2011-0098|UNCORRECTED,0,False,2011-06-02,6,2011-0098__AD_2011-0098_1__easa_ad_2011_0098.pdf,2011-0098__AD_2011-0098_1__easa_ad_2011_0098.pdf,ee69a71e72e4a031,daf011b8adbfcd23,daf011b8adbfcd23d47aac0c15a431c1ad7aa1f75183587f786c280691fff3d2,376b93264fadccf65124613ba26102374f41068602950b1d87ca73d96d0cd9e7,1aqBDF3iO3wnmIGOkUomES1TtqvaWU8qq,https://ad.easa.europa.eu/blob/easa_ad_2011_0098.pdf/AD_2011-0098_1,https://ad.easa.europa.eu/ad/2011-0098,,,None,required,selected_pdf_hash_verified,2026-07-30
2012-0259,2012-0259,2012,2006-2018,A340,38,simple|modification,Short A340-500/-600 waste-water modification; adds ATA 38 coverage.,2012-0259|UNCORRECTED,0,False,2012-12-06,2,2012-0259__AD_2012-0259_1__easa_ad_2012_0259.pdf,2012-0259__AD_2012-0259_1__easa_ad_2012_0259.pdf,71d534e47740b13c,dcf033fc02d9ff25,dcf033fc02d9ff25cd44fb4ae129e9d2d9daa808af2b484c6748e329fa69d151,f9e26085004f12e8bce541399fd0c5f08502216b83d1e3ff489219dd9963dbab,1IO6oBOObwzmYZlim1fmOBg_ePGe_zPkF,https://ad.easa.europa.eu/blob/easa_ad_2012_0259.pdf/AD_2012-0259_1,https://ad.easa.europa.eu/ad/2012-0259,,,None,required,selected_pdf_hash_verified,2026-07-30
2013-0011,2013-0011,2013,2006-2018,A318-A321,56,complex_applicability|inspection_modification,A320-family sliding-window seal case; adds ATA 56 coverage.,2013-0011|UNCORRECTED,0,False,2013-01-15,3,2013-0011__AD_2013-0011_1__easa_ad_2013_0011.pdf,2013-0011__AD_2013-0011_1__easa_ad_2013_0011.pdf,5f652dd0aa52e54f,43f6b5ed0090e9ad,43f6b5ed0090e9ad4b974b38523a3eb53c1731b0d52aa54663c63a2d01de5c48,f3145b5a61bf44f3b3c143ff7edbd74e3d7a574af92cac578642e80eb4b85d9b,17dTKXg7u1nIz7MrjVv8C5xJ7vksUxWSV,https://ad.easa.europa.eu/blob/easa_ad_2013_0011.pdf/AD_2013-0011_1,https://ad.easa.europa.eu/ad/2013-0011,,,None,required,selected_pdf_hash_verified,2026-07-30
2016-0175,2016-0175,2016,2006-2018,A380,36,part_conditioned|replacement,A380 pneumatic duct material replacement; adds A380 and ATA 36 coverage.,2016-0175|UNCORRECTED,0,False,2016-09-14,3,2016-0175__AD_2016-0175_1__EASA_AD_2016_0175.pdf,2016-0175__AD_2016-0175_1__EASA_AD_2016_0175.pdf,c13a622de38db424,c7b752326e99a44b,c7b752326e99a44bf6d7a24f781a8c8bdad976fb4b5382a57115b88fa9866353,d3b667f5d2f14cb1582a7063d134db877e9558c3ec5922895b38fe0ef5470c59,15eAtnuNUkC_PB5kZI-yDa_79mqYrUq4A,https://ad.easa.europa.eu/blob/EASA_AD_2016_0175.pdf/AD_2016-0175_1,https://ad.easa.europa.eu/ad/2016-0175,,,None,required,selected_pdf_hash_verified,2026-07-30
2018-0246,2018-0246,2018,2006-2018,A350,36,afm_amendment|modification,A350 bleed-air modification with an AFM amendment requirement.,2018-0246|UNCORRECTED,0,False,2018-11-27,3,2018-0246__AD_2018-0246_1__EASA_AD_2018_0246.pdf,2018-0246__AD_2018-0246_1__EASA_AD_2018_0246.pdf,0ffbff521ab9746f,23a12457cfa740b4,23a12457cfa740b45c583778e23c85abd9225eb7db58127f30914e6733d3e364,949fedf17cc5f7caa7062817dfce18264bd24b5aec8caafced87f1c7d7d02b14,17mB8DS9Gwz7WjyGLnrlrMWK5T4rGmqR_,https://ad.easa.europa.eu/blob/EASA_AD_2018_0246.pdf/AD_2018-0246_1,https://ad.easa.europa.eu/ad/2018-0246,,,None,required,selected_pdf_hash_verified,2026-07-30
